engelsk,CEFR,gender,ord,wordAudio,uttale,etymologi,definisjon,sentenceAudio,eksempel,sentenceTranslation,sentenceToDelete
sentimental value,C,en,affeksjonsverdi,X,,Latin,verdi en ting har på grunn av minner eller følelser som knytter seg til den,X,"Klokken hadde ingen økonomisk verdi, men stor affeksjonsverdi for henne.","The watch had no financial value, but great sentimental value for her.",
affect,B2,en,affekt,X,,Latin,"sterk, brå sinnsbevegelse",X,I ren affekt slo han døren igjen.,"In sheer excitement, he slammed the door shut.",
"affect, pretend",C,verb,affektere,X,[afekte:´rə],Latin,"late som, hykle; gi seg mine av; berøre; ramme; affisere",X,"Han prøvde å affektere publikums følelser, men det virket falskt.","He tried to affect the audience's emotions, but it seemed false.",
affected,C,adjective,affektert,X,,Latin,"som gjør seg til eller later som; tilgjort, unaturlig",X,Han virket veldig affektert i måten han snakket på.,He seemed very affected in the way he spoke.,
affective,C,adjective,affektiv,X,,Latin,som står i forbindelse med sinn eller følelser; emosjonell,X,Hans affektive lidelse gjorde det vanskelig for ham å regulere følelsene sine.,His affective disorder made it difficult for him to regulate his emotions.,
affect,C,verb,affisere,X,[afise:´rə],Latin: afficere,"gjøre inntrykk på, påvirke",X,Hun fortsatte å arbeide uten å la seg affisere.,She continued to work without letting herself be affected.,
Afghan,B2,adjective,afghansk,X,[afga:´nsk],Sanskrit,som gjelder Afghanistan og afghanere,X,De laget en rett inspirert av afghansk matkultur.,They made a dish inspired by Afghan food culture.,
aphorism,C,en,aforisme,X,,,kort og treffende uttrykk for en tanke; fyndord,X,Aforismen hans ble sitert så ofte at den mistet litt av kraften sin.,His aphorism was quoted so often that it lost some of its force.,
Africa,A1,et,Afrika,X,[afrika],Latin,den nest største verdensdelen og et eget kontinent,X,Jeg drømmer om å reise til Afrika en dag.,I dream of traveling to Africa one day.,
Afrikaans,B2,en-et,afrikaans,X,[afrika:´ns],Dutch,germansk språk (utviklet fra nederlandske dialekter) hovedsakelig brukt i Sør-Afrika og Namibia,X,Afrikaans er et språk som hovedsakelig snakkes i Sør-Afrika og Namibia.,Afrikaans is a language mainly spoken in South Africa and Namibia.,
"African person, African",A2,en,afrikaner,X,[afrika:´nər],Latin,person fra Afrika,X,Han er en stolt afrikaner.,He is a proud African.,
African,A2,adjective,afrikansk,X,[afrika:´nsk],Latin,som gjelder Afrika og afrikanere,X,Jeg liker afrikansk musikk.,I like African music.,
afro,B1,en,afro,X,[a´fro],English,afrofrisyre; musikkform med afroamerikanske røtter,X,Hun hadde en stilig afro på 70-tallet.,She had a stylish afro in the 70s.,
African-American person,B1,en,afroamerikaner,X,,Latin via English,amerikaner av afrikansk opprinnelse,X,Vi snakket med en afroamerikaner som delte sine erfaringer med oss.,We talked to an African-American who shared his experiences with us.,
African-American,B1,adjective,afroamerikansk,X,,Latin via English,som gjelder eller er særmerkt for afroamerikanere,X,Afroamerikansk kultur har hatt stor innflytelse på musikk og kunst.,African-American culture has had a major influence on music and art.,
afro,B1,en,afrofrisyre,X,"[ålrai´t], [ålræi´t]",English,frisyre med krusete hår,X,Afrofrisyren har blitt et symbol på kulturell stolthet.,The Afro hairstyle has become a symbol of cultural pride.,
"evening, eve",B1,en,aften,X,[a`ft(ə)n],Old Norse: aptann,tid fra det mørkner til det er natt; kveld; siste del (av livet); kveld eller dag før en større høytid,X,Hun kommer i aften.,She is coming tonight.,
agate,C,en,agat,X,,Latin via French,"variant av mineralet kalsedon, brukt som smykkestein",X,Hun bar et smykke med en agat i.,She wore a necklace with an agate in it.,
agenda,B1,en,agenda,X,[age´nda],Latin,"sakliste, dagsorden; tenkt liste over sentrale temaer som bør tas opp til debatt; plan for noe en ønsker å gjennomføre",X,Møtets agenda inkluderte flere viktige punkter.,The meeting's agenda included several important items.,
agent,B1,en,agent,X,[age´nt],Latin,"selger, salgsrepresentant; person som arbeider i etterretningstjeneste; spion",X,Han jobber som agent for et internasjonalt selskap.,He works as an agent for an international company.,
act,C,verb,agere,X,,Latin,spille (en rolle); opptre som; handle,X,Han måtte agere raskt for å løse problemet.,He had to act quickly to solve the problem.,
grudge,C,et,agg,X,,,"uro i sinnet; ank; (skjult) motvilje, nag",X,Han bar på et gammelt agg mot sjefen etter den episoden.,He held a long-standing grudge against the boss after that incident.,
"aggregate, unit",B2,et,aggregat,X,,Latin,samling av mange enkeltdeler; kombinasjon av maskiner som virker sammen; frittstående maskin som produserer strøm; sammensatt jordpartikkel; mineral av flere krystaller,X,Generatoren koblet til et stort aggregat.,The generator connected to a large aggregate.,
aggregate state,C,en,aggregattilstand,X,,Latin,"enhver av de fire hovedformene et stoff kan finnes i (fast stoff, væske, gass, plasma)",X,"Vann kan ha fast, flytende eller gassform som sin aggregattilstand.","Water can have solid, liquid or gaseous form as its aggregate state.",
aggregate,C,verb,aggregere,X,,Latin,koble sammen; samle i en bestemt orden; samle seg,X,Dataene ble aggregert for å lage en samlet rapport.,The data was aggregated to create an overall report.,
aggression,B2,en,aggresjon,X,,Latin,væpnet overfall; angrep; følelse eller atferd som er preget av en fiendtlig holdning; oppførsel som har til hensikt å forårsake skade eller smerte,X,Aggresjonen hans overrasket alle som kjente ham som en rolig person.,His aggression surprised everyone who knew him as a calm person.,
aggressive,B2,adjective,aggressiv,X,[a´gresiv],Latin,"stridslysten, truende",X,Han ble aggressiv da han ikke fikk viljen sin.,He became aggressive when he didn’t get his way.,
aggressivity,B2,en,aggressivitet,X,,Latin,det å være aggressiv; fiendtlig holdning; angrepslyst,X,Hans aggressivitet i diskusjoner gjør det vanskelig å oppnå enighet.,His aggressiveness in discussions makes it difficult to reach consensus.,
aggressor,C,en,aggressor,X,[agre´s:or],Latin: aggressor,"aggressiv person, person som utøver vold, angriper",X,Landet ble sett på som en aggressor etter angrepet på naboen.,The country was seen as an aggressor after the attack on its neighbor.,
agile,B2,adjective,agil,X,[agi:´l],Latin via French,rask; smidig,X,Den agile prosjektgruppen tilpasset seg raskt da kundens behov endret seg.,The agile project team adapted quickly when the client’s needs changed.,
agio,C,en,agio,X,[a:´dʃo],Italian,forskjell i kurs; gevinst av ulik kurs,X,Banken beregnet en agio på valutavekslingen.,The bank calculated an agio on the currency exchange.,
agitation,C,en,agitasjon,X,,Latin,det å agitere,X,Politikeren ble anklaget for agitasjon etter å ha hisset opp folkemengden.,The politician was accused of agitation after riling up the crowd.,
agitator,B2,en,agitator,X,,Latin,"person som agiterer; teknisk innretning til å sette væske, masse i bevegelse",X,Agitatoren holdt en kraftig tale foran publikum.,The agitator gave a powerful speech in front of the audience.,
agitating,C,adjective,agitatorisk,X,,Latin,som agiterer; preget av agitasjon,X,Avisen trykket en sterkt agitatorisk lederartikkel.,The newspaper printed a strongly agitational editorial.,
agitate,C,verb,agitere,X,[agite:´rə],Latin: agitare,"forsøke å påvirke folks syn ved overtalelse, oppegging eller lignende; propagandere",X,Han forsøkte å agitere folkemengden til å protestere mot regjeringen.,He tried to agitate the crowd to protest against the government.,
bait,B2,et,agn,X,[aŋn],Old Norse: agn,lokkemat for fisk; lokkemiddel,X,Jeg satte på ferskt agn på kroken før jeg kastet snøret i vannet.,I put fresh bait on the hook before throwing the line into the water.,
chaff,B2,ei,agn,X,[aŋn],Old Norse: ǫgn,dekkblad omkring småaks og blomster på gressplanter,X,Kornet renses for agn etter tresking.,The grain is cleaned of chaff after threshing.,
bait,B2,verb,agne,X,[a`ŋnə],Old Norse,sette agn på; egne,X,Jeg måtte agne fiskekroken på nytt etter at fisken stjal agnet.,I had to re-bait the fishing hook after the fish stole the bait.,
agnostic,C,en,agnostiker,X,[agnå´stikər],Greek via English,"som tror på agnostismen, som ikke har noen visshet om Guds eksistens",X,Som agnostiker mener hun at det er umulig å bevise Guds eksistens eller fravær.,"As an agnostic, she believes that it is impossible to prove the existence or absence of God.",
agnosticism,C,en,agnostisisme,X,,Greek,"lære, syn som avviser at mennesket kan vite noe om det oversanselige, for eksempel om Gud fins",X,Agnostisisme innebærer å være åpen for at vi ikke kan vite om det finnes en høyere makt.,Agnosticism means being open to the fact that we cannot know if there is a higher power.,
agnostic,C,adjective,agnostisk,X,,Greek,som gjelder eller er preget av agnostisisme,X,Han har en agnostisk holdning til spørsmål om liv etter døden.,He has an agnostic attitude to questions about life after death.,
agronomist,C,en,agronom,X,,,"person med avgangseksamen fra jordbruksskole; (person med) stilling med ansvar for rådgiving, opplysning og kontrolltjenester i jordbruket",X,En agronom besøkte gården og ga råd om gjødsling og drenering.,An agronomist visited the farm and gave advice on fertilising and drainage.,
agronomy,C,en,agronomi,X,,,"fag, studium som omhandler jordbruk, landbruk",X,Hun studerer agronomi for å lære mer om bærekraftig matproduksjon.,She studies agronomy to learn more about sustainable food production.,
agronomic,C,adjective,agronomisk,X,,,som gjelder agronomi,X,Rapporten gir en agronomisk vurdering av jordkvaliteten i området.,The report provides an agronomic assessment of the soil quality in the area.,
cucumber,A1,en,agurk,X,[agu´rk],Greek,(plante av) art i gresskarfamilien; Cucumis sativus; frukt av agurk,X,Jeg liker å ha agurk på brødskiva mi.,I like to have cucumber on my bread slice.,
"ahistorical, ahistoric",C,adjective,ahistorisk,X,,Greek,uavhengig av historiske omstendigheter,X,Argumentet hans var helt ahistorisk og tok ikke hensyn til konteksten fra den tiden.,His argument was completely ahistorical and did not take into account the context of the time.,
AIDS,B1,en,aids,X,[eids],English: AIDS,sykdom som forårsakes av hivvirus og som ødelegger kroppens immunforsvar,X,Aids er en alvorlig sykdom som fortsatt krever mye forskning.,AIDS is a serious disease that still requires a lot of research.,
air fryer,B1,en,airfryer,X,[e:´rfraiər],English,liten varmluftsovn til steking av mat,X,Jeg lager ofte pommes frites i airfryeren.,I often make French fries in the air fryer.,
update,C,verb,ajourføre,X,[aʃu:´rfø:`rə],French,føre a jour; oppdatere,X,Det ble gitt ut en ajourført utgave på mikrofilm.,An updated edition was released on microfilm.,
yoke,B2,et,åk,X,[å:k],Old Norse: ok,"et bæreredskap (som regel i tre) til å legge over skuldrene, med en taustropp med krok i hver ende",X,Hesten bar plogen og det tunge åket over jordet.,The horse carried the plow and the heavy yoke across the field.,
academy,B2,et,akademi,X,,Greek via Latin,høyere undervisningsinstitusjon eller forskningsinstitutt,X,Akademiet utdanner noen av de beste forskerne i landet.,The academy educates some of the best researchers in the country.,
academic,B2,en,akademiker,X,,Greek via Latin,person med utdanning fra universitet eller høyskole; ansatt i akademisk stilling,X,Hun er en respektert akademiker innen sitt felt.,She is a respected academic in her field.,
academic,B2,adjective,akademisk,X,,Greek via Latin,som gjelder universitet eller akademikere,X,"Debattantene holdt en lang, akademisk diskusjon.","The debaters held a long, academic discussion.",
sled,A2,verb,ake,X,[a:`kə],Old Norse: aka,"gli smått og forsiktig; åle; gli på kjelke, slede eller lignende; renne, skli",X,Vi skal ake i parken når snøen kommer.,We'll be sledding in the park when the snow comes.,
sledder,B2,en,aker,X,,,person som driver med aking eller akesport,X,Akeren justerte hjelmen før han satte utfor den isete bakken.,The sledder adjusted his helmet before setting off down the icy hill.,
field,B1,en,åker,X,,Old Norse,"jordstykke der det dyrkes korn, rotfrukter, oljevekster og annet; avling som vokser på en åker",X,Bonden er ute på åkeren med traktoren.,The farmer is out in the field with her tractor.,
Achilles heel,C,en,akilleshæl,X,[aki´l:əshe:l],Greek,sårbart punkt; svakhet; sårbarhet eller svakhet som eksisterer til tross for overlegenhet eller styrke i andre områder,X,Matematikk er hans akilleshæl.,Mathematics is his Achilles heel.,
Achilles tendon,C,ei,akillessene,X,[aki´l:əsse:`nə],Greek,kraftig sene som går fra leggmusklene til hælbeinet,X,Fotballspilleren rev akillessenen under kampen.,The footballer tore his Achilles tendon during the match.,
accompaniment,C,et,akkompagnement,X,[akompanjəma´ŋ:],French,musikk som ledsager melodibærende sang eller instrument; (noter til) tonefølge,X,Hun sang vakkert med pianoakkompagnement.,She sang beautifully with piano accompaniment.,
accompany,C,verb,akkompagnere,X,[akompanje:´rə],French,spille til sang eller soloinstrument; gi tonefølge,X,Han skulle akkompagnere søsteren sin på piano under konserten.,He was to accompany his sister on the piano during the concert.,
"contract, accord",B1,en,akkord,X,[akå´r-d],French,avtale om å gjøre et arbeid for en viss sum; avtale om lønn i forhold til arbeidsytelsen,X,Bandet spilte i perfekt akkord under konserten.,The band played in perfect harmony during the concert.,
"just, exactly",A2,adverb,akkurat,X,[akura:´t],Latin: accuratus,verken mer eller mindre enn; nøyaktig; nettopp,X,Dette er akkurat riktig farge.,This is just the right color.,
acme,C,en,akme,X,[a`k:mə],Greek,"høydepunkt i aktivitet eller innflytelse i livsløpet til en person, institusjon eller doktrine; høydepunkt i en utvikling",X,"Resultatene var høydepunktet, eller akme, av forskningen.","The results were the culmination, or acme, of the research.",
acne,C,en,akne,X,[a`knə],Greek,betennelse i talgkjertler i huden,X,Mange ungdommer sliter med akne i puberteten.,Many young people struggle with acne during puberty.,
