engelsk,CEFR,gender,ord,uttale,etymologi,definisjon,eksempel
related to emergency medicine,B2,adjective,akuttmedisinsk ,,Latin,som gjelder akuttmedisin,Det akuttmedisinske teamet jobbet raskt.
watercolor,B2,en,akvarell,,Latin,vannfarge; maleri i vannfarger,Hun malte et vakkert landskap i akvarell.
watercolor paint,B2,en,akvarellfarge,,Latin,vannfarge,Jeg kjøpte nye akvarellfarger for prosjektet.
aquarium,A2,et,akvarium,,Latin,"tank, beholder til å ha fisk, sjødyr og vannplanter i; bygning med akvarium i",Akvariet er fullt av eksotiske fisker.
aquatic,B2,adjective,akvatisk,,Latin,"som gjelder, har sammenheng med eller fins i vann",Den akvatiske økologien er rik i dette området.
aqueduct,B2,en,akvedukt,,Latin,bro som fører vannledning over en dal eller i en viss høyde over bakken,Akvedukten førte vann til byen.
fostering,C,et,al,,,"det å nære, fø (frem, opp), oppdrett; ungdyr som en aler frem, setter på (med tanke på videre øksling)",
alarm,A2,en,alarm,,Italian via French,"varselsignal, varselrop",Alarmen gikk midt på natten.
alarm,B1,verb,alarmere,,Italian via French,varsle (med alarm); gjøre urolig,Meldingen alarmerte oss.
alarming,B2,adjective,alarmerende,,Italian via French,"foruroligende, urovekkende",
elbow,A2,en,albue,,Old Norse: albogi,midtre ledd på armen,Hun slo albuen sin mot veggen.
elbow room,B2,et,albuerom,,Old Norse,"rom til å bevege seg på, bevegelsesfrihet",Jeg trenger litt mer albuerom på bussen.
album,A2,et,album,,Latin: albus,"bok til å samle bilder, frimerker og lignende i",Bandet skal gi ut et nytt album til sommeren.
completely,B2,adverb,aldeles,,Old Norse,fullstendig,Du har aldeles rett.
age,A1,en,alder,[a´ldər],Old Norse: aldr,tid som noe har vært til i,Hun er i en alder der pensjonering begynner å bli aktuelt.
old age,B1,en,alderdom,,Old Norse,høy alder; den tiden da en er gammel,I sin alderdom skrev han flere bøker om livet sitt.
aged,B2,adjective,alderdommelig,,German,"gammel, gammeldags",Huset hadde en alderdommelig sjarm.
"age, date",B2,verb,aldersbestemme,,Old Norse,"fastslå alderen på, datere",Arkeologene prøvde å aldersbestemme fossilet.
age difference,B2,en,aldersforskjell,,Old Norse,forskjell i alder (især mellom personer),Til tross for aldersforskjellen har vi fin kontakt.
retirement home,B2,et,aldershjem,,Old Norse,hjem for eldre mennesker; gamlehjem,De eldre bor på aldershjemmet.
never,A1,adverb,aldri,[a`ldri],"Old Norse: aldri, aldrigi, aldrigin","ikke noensinne; slett ikke, på ingen måte",En kjede er aldri sterkere enn sitt svakeste ledd.
"never be the same again, never be human again",B2,expression,aldri bli menneske igjen,,Old Norse,være fysisk eller psykisk nedbrutt etter en ulykke,Jeg føler at jeg aldri blir menneske igjen etter denne uken.
never in my life,A2,expression,aldri i livet,,Old Norse,absolutt ikke,Aldri i livet ville jeg gjøre noe slikt!
"every cloud has a silver lining, never so wrong that it's not good for anything",B1,expression,aldri så galt at det ikke er godt for noe,,Old Norse,"en hendelse som bare ser uheldig ut, kan likevel føre med seg noe positivt","Aldri så galt at det ikke er godt for noe, sier et gammelt ordtak."
aging,B2,ei,aldring,,Old Norse: aldr,det å bli gammel eller eldre,Aldring er en naturlig del av livet.
aging-resistant,C,adjective,aldringsbestandig,,Old Norse,"bestandig, motstandsdyktig mot aldring",Dette materialet er aldringsbestandig og holder seg godt over tid.
foster,B2,verb,ale,,Old Norse,"fø (opp, frem); fostre (opp)",
eelgrass,B2,et,"ålegras, ålegress",,,"saltvannsplante med smale, båndformede blad",
alone,A2,adjective,alene,[ale:`nə],German: allēne,"for seg selv, enslig",En ulykke kommer sjelden alene.
single father,B1,en,alenefar,,German,far som er alene om å ta seg av barna; enslig far,Han er en stolt alenefar som tar godt vare på barna sine.
single mother,B1,ei,alenemor,,German,mor som er alene om å ta seg av barna; enslig mor,"Som alenemor har hun mange ansvar, men hun gjør en fantastisk jobb."
alphabet,A1,et,alfabet,[alfabe:´t],Greek via Latin: alphabetum,"fast ordnet rekke av bokstaver eller skrifttegn i et språk",Barn lærer alfabetet når de begynner på skolen.
alphabetize,B2,verb,alfabetisere,,Greek,"ordne alfabetisk; overføre til, innføre et alfabet; lære analfabeter å lese og skrive",Læreren ba elevene alfabetisere ordlisten.
alphabetic,A2,adjective,alfabetisk,,Greek,etter alfabetet,Bøkene er sortert i alfabetisk rekkefølge.
alpha male,B2,en,alfahann,,Greek,hanndyr som er leder i en dyreflokk; viril og dominerende mann; mannlig ledertype,Løveflokken ble ledet av en sterk alfahann.
algebra,B1,en,algebra,[a´lgebra],Arabic via Latin,(lærebok i) bokstavregning; regning med ligninger,Elevene synes algebra er en av de mest utfordrende delene av matematikken.
algorithm,B2,en,algoritme,[algori`tmə],Arabic via Latin,presis beskrivelse av en endelig serie operasjoner som skal utføres for å løse et problem,Selskapet utvikler en ny algoritme for å forbedre søkeresultatene.
algorithmic,C,adjective,algoritmisk,[algori´tmisk],Arabic via Latin,som gjelder algoritmer,Algoritmisk tenkning er essensielt for programmering.
alien,B2,en,alien,[ei´liən],Latin via French via English: alien,utenomjordisk vesen; romvesen,Filmen handler om en gruppe mennesker som oppdager en alien på en annen planet.
alienation,C,en,alienasjon,[alienaʃo:´n],Latin via English: alienation,fremmedgjøring; fremmedgjorthet,Alienasjonen i samfunnet kan føre til følelser av ensomhet.
alienate,C,verb,alienere,[aliene:´rə],Latin: alienare,fremmedgjøre,Hans upassende kommentarer begynte å alienere vennene hans.
alcohol,A2,en,alkohol,"[alkoho:´l], [a´lkohol]",Arabic via Latin,"rusdrikk, særlig brennevin",Jeg nyter ikke alkohol.
alcoholic,B2,adjective,alkoholholdig ,,Arabic via Latin,"som inneholder alkohol",De serverte både alkoholholdige og alkoholfrie drikker.
alcoholic,B2,en,alkoholiker,,Arabic via Latin,"person med sykelig trang til alkohol, alkoholist","Han har vært alkoholiker i mange år, men er nå i behandling."
alcohol abuse,B2,en-et,alkoholmisbruk,,Arabic via Latin,"overdrevet inntak, misbruk, av alkohol over lengre tid",Alkoholmisbruk er et alvorlig samfunnsproblem.
all,A1,numeral,all,[al:],Old Norse: allr,"hel, uten unntak; i fullt omfang",Det er tydelig for all verden.
avenue,B1,en,allé,[ale:´],French: allée,"gate, vei med trær på begge sider",Fra Hafslund Herregård gikk det fra gammelt av en allé i de fire himmelretninger.
allegory,C,en,allegori,,Greek,"gjennomført lignelse; utvidet metafor, bildetale; litterær fremstilling der de enkelte innholdselementene danner en kjede av symboler",Boken er en allegori om kampen mellom godt og ondt.
allegorical,C,adjective,allegorisk,,Greek,"billedlig, som en allegori",Diktet er allegorisk og bruker symboler for å representere frihet.
allergen,B2,et,allergen,[alærge:´n],Greek via German,stoff som fremkaller allergi,Allergener fremkaller allergier.
allergy,B2,en,allergi,[alærgi:´],Greek via German,overfølsom reaksjon i kroppen mot visse stoffer,Mange typer rødvin har et høyt histaminnivå som kan utløse allergier.
"allergic person, someone with allergies",B2,en,allergiker,,Greek via German,"allergisk person",Som allergiker må han alltid sjekke ingrediensene før han spiser noe.
allergic,B2,adjective,allergisk,,Greek via German,overfølsom mot visse stoffer,"Hun er allergisk mot nøtter, så vi må være forsiktige med maten."
alligator,B1,en,alligator,[aliga:´tor],English: alligator,underfamilie av ordenen krokodiller; (dyr av) slekt i underfamilien alligatorer,Vi så en stor alligator i elva da vi var i Florida.
omnipotence,C,ei,allmakt,,German,makt over alt og alle; evne til å gjøre alt,
omnipotent,C,adjective,allmektig,,Old Norse,som har all makt,
"public, universal",B2,adjective,allmenn ,,Old Norse: almennr,"felles for alle, som gjelder alle",
"generally applicable, universal",C,adjective,allmenngyldig,,,"gyldig for alle, for alle tilfeller, til alle tider; universell",
the public,B2,ei,allmennhet ,,Old Norse,"publikum, offentlighet",Det er i allmennhetens interesse å få vite hva som har skjedd.
everyday language,B2,et,allmennspråk ,,Old Norse,den delen av språket som de fleste i et språksamfunn bruker,
common people,B2,en,allmue,[a`lmuə],Old Norse: almúgi,"småkårsfolket, folket på landet",Embetsmennene utsugde allmuen.
common language,B2,et,allmuemål,,Old Norse: almúgi,vanlig talemål som ikke er normert etter skriftspråket; folkemål,
allocate,B2,verb,allokere,,Latin via English,dele ut; tildele,Prosjektlederen måtte allokere ressurser for å sikre at alle team hadde det de trengte.
versatile,B2,adjective,allsidig,,Old Norse,som omfatter mange forskjellige områder,
versatility,B2,ei,allsidighet,,Old Norse,"stor bredde, spennvidde, variasjon",
always,A1,adverb,alltid ,"[a´ltid], [a´lti]",German: alletīt,"til alle tider, uten unntak","Skal du alltid klage?"
allude,C,verb,alludere,,Latin,"sikte til, spille på",Forfatteren alluderte til klassiske verk i sin nye roman.
allusion,C,en,allusjon,,Latin,det å alludere; hentydning til person(er) eller utsagn i andre diktverk,iktet er fullt av allusjoner til gresk mytologi.
omniscient,C,adjective,allvitende,,Old Norse,"som vet alt (på ett eller flere felter)",Hun tror hun er allvitende.
common,A2,adjective,alminnelig,,Old Norse,"som gjelder alle; allmenn; utbredt, vanlig, ordinær",Han var mer enn alminnelig blid.
everything,A1,numeral,alt,,,samtlige ting eller forhold; det hele; så mye som,Alt er klart for festen.
"everything, universe",C,et,alt,[alt],Old Norse: allr,verden som en helhet; universet; verdensaltet,"Hvis religion er samfølelse med altet, er René Char en dypt religiøs."
already,B1,adverb,alt,,,"helt, allerede, uansett",Hun har alt sendt inn søknaden til universitetet.
everything is relative,B2,expression,"alt er relativt",,Old Norse,"alt kommer an på hva man sammenligner med eller hvem som sammenligner",
"everything under the sun, everything between the heavens and the earth",B1,expression,"alt mellom himmel og jord",,Old Norse,alt mulig,Du finner alt mellom himmel og jord på det store loppemarkedet.
alter,B2,et,alter,,Latin via Old Norse,"bord i koret der en del av gudstjenesten blir forrettet og en del kirkelige handlinger utført; bord for ofring offersted, tilbedelsessted; noe som har så stor betydning at det minner om religiøs tilbedelse",
alter ego,B2,et,alter ego,[a´ltər e:´go],Latin: alter ego,person som (i tankegang) er helt lik en annen; dobbeltgjenger,Superheltens alter ego er en vanlig journalist.
"option, alternative",B1,et,alternativ,,Latin,"ett av to eller flere vilkår, ting som en kan velge mellom; annen mulig utvei",Det var flere alternativer til løsning. Det er ikke noe alternativ. Alternativet er å reise med buss.
alternative,B1,adjective,alternativ,,Latin,"som tillater valg mellom to (eller flere) muligheter, alternativ; annen, annerledes, som står i motsetning til det etablerte, vanlige",Vi må finne en alternativ løsning på problemet.
alternate,B2,verb,alternere,,Latin,"skifte, avløse hverandre, utføre vekselvis",To skuespillere alternerer i hovedrollen.
"sacramental wine, alter wine",B2,en,altervin,,Latin via Old Norse,vin i nattverdssakramentet,
omnivorous,B2,adjective,altetende,,Old Norse,som er alteter,
omnivore,B2,en,alteter,,Old Norse,dyr som lever både av vegetabilsk og animalsk kost,Bjørnen er alteter.
altruism,B2,en,altruisme,,French,"uegennytte, nestekjærlighet",
altruist,B2,en,altruist,,French,person som arbeider for å hjelpe sine medmennesker; menneskevenn,
altruistic,B2,adjective,altruistisk,,French,som gjelder altruisme; uselvisk,
"so, therefore",A2,adverb,altså,[a´ltså],German: also,"av den grunn; følgelig, derfor; i forsterkende betydning på slutten av et utsagn eller utrop; brukt som innledning eller overgang for å presisere, utdype eller oppsummere","Jeg er ateist, altså tror jeg ikke på Gud. Du er eldst, altså går du først. Det er helt sant, altså! Det går slettes ikke an, altså! Altså, som jeg sa, reiser vi på fredag. Nei, altså, det var ikke det jeg mente."
aluminum,B1,en-et,aluminium,[alumi:´nium],Latin: alumen,sølvhvitt metallisk grunnstoff med atomnummer 13,"Himmelen som hvelver bak en gul høstmåne, ligner aluminium."
aluminum foil,B1,en,"aluminiumsfolie, aluminiumfolie",,Latin,"folie av aluminium, blant annet brukt til emballasje",Vi pakket maten inn i aluminiumsfolie før vi la den i ovnen.
elf,B2,en,alv,[alv],Old Norse: alfr,"overnaturlig vesen, ofte fremstilt som en lett, lys og vakker jente",Alvene danser over Sognsvann.
seriousness,A2,et,alvor,[a`lvår],Old Norse: alvara,"(hard) virkelighet, realitet; betydning, viktighet","Spøker du, eller mener du alvor?"
"serious, severe, grave",A2,adjective,alvorlig ,[alvå:´rli],Old Norse,"som uttrykker ens sanne, genuine mening eller hensikt",Jeg hadde en alvorlig prat med Krøll.
seriousness,B2,ei,alvorlighet ,,Old Norse,det at noe er alvorlig; alvor; noe som er alvorlig,Alvorligheten i hennes blikk avslørte at hun ikke tok saken lett.
amateur,B1,en,amatør,[amatø:´r],French,"person som driver med vitenskap, kunst, idrett og lignende uten å ha det som levevei og av interesse",Dette stykket henvender seg til amatører.
"amateurish, unprofessional",B2,adjective,amatørmessig,,French,"som er utført av amatører; ikke profesjonell, slett, elendig",Det var amatørmessig utført.
embassy,B1,en,ambassade,[ambasa:`də],French,"utenriks, diplomatisk stasjon der en ambassadør er leder",Ulike representanter for ambassaden deltar.
embassador,B1,en,ambassadør,,French,"diplomatisk utsending av høyeste rang, oftest ved en ambassade; representant",De norske sjøfolkene er gode ambassadører for landet.
ambitious,B2,adjective,ambisiøs,,French,"som har høye mål, ambisjoner; ærgjerrig",Den ambisiøse gründeren hadde store planer for sin nyskapende bedrift.
ambitious,B2,en,ambisjon,,Latin,"ønske om å hevde seg, gjøre karriere; mål",Han har ingen ambisjoner i den retning.
ambivalence,C,en,ambivalens,[ambivale´ns],Latin via German: Ambivalenz,"det å inneholde motsatte tendenser; (ubevisste) motstridende holdninger, følelser",Mange føler ambivalens ved livsvalgene sine.
ambivalent,B2,adjective,ambivalent,,Latin,motstridende; som innebærer ambivalens,Han følte seg ambivalent til beslutningen om å flytte til en ny by.
ambulance,A2,en,ambulanse,[ambula´ŋsə],Latin via French,utrykningskjøretøy som frakter syke eller skadede (til et sykehus); sykebil,Han ringte etter ambulanse.
Caffè Americano,B1,en,americano,[amerikaˊno],English: americano,espresso blandet med varmt vann,Dagens 17-åringer drikker litervis av kaffe latte og americano i uka.
America,A1,et,Amerika,,,"sammenfattende navn på landmassene på den vestlige halvkule, mellom Atlanterhavet i øst og Stillehavet i vest",Amerika er kjent for sin varierte kultur.
"American person, American",A2,en,amerikaner,,,"person fra Amerika, særlig fra USA","Han er amerikaner, men har bodd i Norge i flere år."
American,A2,adjective,amerikansk,,,"som gjelder Amerika og amerikanere, særlig USA",Vi så på en amerikansk film i går kveld.
"buffalo, American bison",B1,expression,amerikansk bison,,,klauvdyr i slekta Bison med nesten svart forkropp og sidt skjegg som gåt fra haken og til forbeina; Bison bison,Den amerikanske bisonen er en imponerende og kraftfull skapning.
American English,B2,en-et,amerikansk-engelsk,,,"engelsk språk i Amerika, særlig i USA",Hun snakker amerikansk-engelsk med en tydelig aksent.
wet nurse,B1,ei,amme,[a`m:ə],German: amme,"kvinne som gir bryst til andres barn",Hun måtte amme babyen i pauser under møtet.
breastfeed,B1,verb,amme,[a`m:ə],German: amme,"gi morsmelk fra brystene; die, gi bryst",Legen mente at mødre bør få amme i arbeidstiden. Minstegutten måtte bli ammet flere ganger om natta.
